prefecture,lat,lon,coord
赤峰市,42.29711232031733,118.9307611921676,"42.297112,118.93076"
临沂市,35.072409074391125,118.34076823661057,"35.072409,118.34076"
黔南布依族苗族自治州,26.264535997442252,107.52320511005807,"26.264535,107.52320"
烟台市,37.53656156285964,121.30955503008512,"37.536561,121.30955"
三明市,26.270835279362192,117.64219393404413,"26.270835,117.64219"
喀什地区,39.47062718874562,75.99297326749168,"39.470627,75.992973"
宝鸡市,34.36408080974784,107.17064545238308,"34.364080,107.17064"
郑州市,34.75661006414025,113.64964384986449,"34.756610,113.64964"
邵阳市,27.23681124492241,111.46152540355403,"27.236811,111.46152"
百色市,23.901512367910108,106.63182140365116,"23.901512,106.63182"
山南市,28.35498237810687,92.22087273151024,"28.354982,92.220872"
榆林市,38.2794392400706,109.74592574432863,"38.279439,109.74592"
新乡市,35.30725755766129,113.91269016082377,"35.307257,113.91269"
南宁市,22.80649293560261,108.29723355586636,"22.806492,108.29723"
大理白族自治州,25.59689963942069,100.22367478928341,"25.596899,100.22367"
乌兰察布市,41.02236294675116,113.11284639067514,"41.022362,113.11284"
渭南市,34.5023579758288,109.48393269657976,"34.502357,109.48393"
广州市,23.12004910207623,113.30764967515181,"23.120049,113.30764"
德州市,37.460825926305006,116.32816136356094,"37.460825,116.32816"
温州市,28.002837594041253,120.69063473370909,"28.002837,120.69063"
承德市,40.992521052457136,117.93382245583851,"40.992521,117.93382"
汉中市,33.08156897815767,107.04547762872541,"33.081568,107.04547"
昌都市,30.51092480115795,96.36244047291781,"30.510924,96.362440"
昭通市,27.34063296363545,103.72502065573349,"27.340632,103.72502"
郴州市,25.782263975738925,113.03770446779562,"25.782263,113.03770"
晋中市,37.6933615267976,112.73851439991772,"37.693361,112.73851"
南京市,32.05723550180587,118.77807440802565,"32.057235,118.77807"
衡水市,37.74692904585666,115.68622865290865,"37.746929,115.68622"
漳州市,24.51706477980848,117.67620467894615,"24.517064,117.67620"
乐山市,29.60095761109508,103.76082423877176,"29.600957,103.76082"
